PDB ID,Res Name,Chain,Res ID,pKa,Expt. Uncertainty,Neighbors <4A,# HB R-R,#HB R(D)-BB,# HB  R-BB(D),#HB R(A)-BB,# HB R-BB(A),#HB BB-BB,%SASA,Expt. Method,Expt. Salt Concentration,Expt. pH,Expt. Temp.,Reference,Mutant Pos,Mutant Chain,Std deviation,Unnamed: 8,Expt. method,Expt. salt conc,Expt. temp
1LSE,LYS,A,116,10.4,0.1,R114,,,,,,1.0,79.6,Potentiometric titration,0.1 M,1.8-11.1,298 K,https://www.ncbi.nlm.nih.gov/pubmed/6771251,,,,,,,
1BHC,LYS,J,26,10.6,0.1,,,,,,,,129.8,NMR,200 mM,0-16,293 K,https://www.sciencedirect.com/science/article/pii/S0022283684713015?via%3Dihub,,,,,,,
3FT7,LYS,B,6,10.78,0.13,,,,,,,,,NMR,<60mM,0-12.5,298 K,https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/cbic.201800628,,,,,,,
2BCA,LYS,A,16,11.06,0.03,E17,,,,,,1.0,95.3,NMR,,5.25-12.25,300 K,https://www.ncbi.nlm.nih.gov/pubmed/8683586,,,,,,,
2ZTA,LYS,A,8,11.26,0.05,"Q4, E6, D7",,,,,,1.0,48.7,NMR,150 mM,1.0-13.0,298 K,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2105789/,,,,,,,
2BCA,LYS,A,55,12.12,0.13,"E51, D54, E65",,,,,1.0,2.0,116.0,NMR,,5.25-12.25,300 K,https://www.ncbi.nlm.nih.gov/pubmed/8683586,,,,,,,
1NFN,LYS,A,143,9.5,0.1,"H140, R142",,,,,,,86.7,NMR,150 mM,5.5-12.5,310 K,https://www.ncbi.nlm.nih.gov/pubmed/12588864,,,,,,,
1PPF,LYS,I,34,10.13,0.05,,,1.0,,,,1.0,45.5,NMR,0.015 M,5.0-13.0,298 K,https://pubs.acs.org/doi/pdf/10.1021/bi980187v,,,,,,,
1LSE,LYS,A,13,10.5,0.1,"R14, H15",,,,,,2.0,65.3,Potentiometric titration,0.1 M,1.8-11.1,298 K,https://www.ncbi.nlm.nih.gov/pubmed/6771251,,,,,,,
2ZTA,LYS,A,15,10.62,0.06,E11,,,,,,1.0,54.5,NMR,150 mM,1.0-13.0,298 K,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2105789/,,,,,,,
1LSE,LYS,A,1,10.8,0.1,,2.0,,1.0,,,1.0,59.3,Potentiometric titration,0.1 M,1.8-11.1,298 K,https://www.ncbi.nlm.nih.gov/pubmed/6771251,,,,,,,
2ZTA,LYS,A,27,11.1,0.02,"R25, K28",,,,,,1.0,71.5,NMR,150 mM,1.0-13.0,298 K,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2105789/,,,,,,,
2BCA,LYS,A,7,11.36,0.03,"E4, E5 ",,,,,1.0,1.0,75.4,NMR,,5.25-12.25,300 K,https://www.ncbi.nlm.nih.gov/pubmed/8683586,,,,,,,
1FEZ,LYS,A,53,9.3,,,,,,,,,25.7,Potentiometric titration,10 mM,8.5-10.0,303 K,https://pubs.acs.org/doi/abs/10.1021/bi026388n,,,,,,,
1NFN,LYS,A,75,10.1,0.1,K72,,,,,,2.0,15.2,NMR,150 mM,5.5-12.5,310 K,https://www.ncbi.nlm.nih.gov/pubmed/12588864,,,,,,,
2RKS,LYS,A,38,10.4,,,,,,,,,,,,4.0-10.0,,https://www.pnas.org/content/108/13/5260,K38K,A,0.2,,NMR,,298 K
1BHC,LYS,J,46,10.6,0.1,D50,,,1.0,,,,64.0,NMR,200 mM,0-16,293 K,https://www.sciencedirect.com/science/article/pii/S0022283684713015?via%3Dihub,,,,,,,
2ZTA,LYS,A,3,10.78,0.03,"R1, Q4",,,,,,,73.4,NMR,150 mM,1.0-13.0,298 K,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2105789/,,,,,,,
2BCA,LYS,A,12,11.06,0.07,E11,,,,,1.0,1.0,90.0,NMR,,5.25-12.25,300 K,https://www.ncbi.nlm.nih.gov/pubmed/8683586,,,,,,,
2BCA,LYS,A,29,11.28,0.03,"K25, E26, E27",,,,,,1.0,46.4,NMR,,5.25-12.25,300 K,https://www.ncbi.nlm.nih.gov/pubmed/8683586,,,,,,,
